고등교육기관 주소록,,,,,,,,,,,,
,,,,,,,,,,,,
* 2018년 10월 1일 기준,,,,,,,,,,,,
"* 일반대학, 교육대학, 산업대학, 방송통신대학교, 기술대학, 각종학교(전문, 대학과정), 사이버대학(전문, 대학과정), 원격대학(전문, 대학과정), 사내대학(전문,대학과정), 전문대학, 기능대학, 전공대학, 일반대학원, 특수대학원, 전문대학원이 포함됨",,,,,,,,,,,,
* 본 자료는 해당기관에서 작성한 자료임,,,,,,,,,,,,
연도,학교종류,시도,학교명,학교명(영문),본분교,학교상태,설립,우편번호,주소,전화번호,팩스번호,홈페이지
2018,대학교,경북,금오공과대학교,Kumoh National Institute of Technology,본교,기존,국립,39177,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",054-478-7114        ,054-478-7100        ,www.kumoh.ac.kr
2018,일반대학원,경북,금오공과대학교대학원,"Graduate School, Kumoh National Institute of Technology",본교,기존,국립,39177,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",054-478-7014~7015   ,054-478-7020        ,cam.kumoh.ac.kr
2018,특수대학원,경북,금오공과대학교교육대학원,"Graduate School of Education, Kumoh National Institute of Technology",본교,기존,국립,39177,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",054-478-7014~7015   ,054-478-7020        ,edu.kumoh.ac.kr
2018,특수대학원,경북,금오공과대학교산업대학원,"Graduate School of Industry, Kumoh National Institute of Technology",본교,기존,국립,39177,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",054-478-7014~7015   ,054-478-7020        ,tec.kumoh.ac.kr
2018,특수대학원,경북,금오공과대학교 컨설팅대학원,"Graduate School of Consulting, Kumoh National Institute of Technology",본교,기존,국립,39177,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",054-478-7018        ,054-478-7020        ,con.kumoh.ac.kr
2018,대학교,전남,목포대학교,Mokpo National University,본교,기존,국립,58554,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr
2018,일반대학원,전남,목포대학교대학원,Mokpo National University Graduate School,본교,기존,국립,58554,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr
2018,특수대학원,전남,목포대학교경영행정대학원,Graduate School of Business & Public Administration,본교,기존,국립,58579,"전라남도 무안군 삼향읍 남악로 190 (남악리, 목포대학교교육지원센타)",061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr
2018,특수대학원,전남,목포대학교 교육대학원,Graduate School of Education,본교,기존,국립,58554,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr
2018,특수대학원,전남,목포대학교산업기술대학원,Graduate School of Industrial Technology,본교,기존,국립,58554,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr
